Season,Cause,Cause (English),Fires,Fires (%),Total (ha),Total (% of ha)
2018-2019,Incendios intencionales,Intentional fires,2486,34.52,23171.37,29.02
2018-2019,"Tránsito de personas, vehículos o aeronaves","Movement of people, vehicles or aircraft",2212,30.72,8131.25,10.18
2018-2019,Faenas forestales,Forestry operations,439,6.10,1728.66,2.17
2018-2019,Incendios de causa desconocida,Fires of unknown cause,422,5.86,7122.79,8.92
2018-2019,Quema de desechos,Burning of waste,412,5.72,16721.75,20.94
2018-2019,Faenas agrícolas y pecuarias,Agricultural and livestock operations,399,5.54,3268.57,4.09
2018-2019,Accidentes eléctricos,Electrical accidents,316,4.39,10616.39,13.30
2018-2019,Actividades recreativas,Recreational activities,180,2.50,1954.17,2.45
2018-2019,Otras actividades,Other activities,122,1.69,2691.65,3.37
2018-2019,"Actividades extinción incendios forestales, incendios estructurales u otros","Wildfire, structural and other fire suppression activities",94,1.31,1326.17,1.66
2018-2019,Incendios naturales,Natural fires,56,0.78,2103.94,2.64
2018-2019,Confección y/o extracción productos secundarios del bosque,Gathering and processing of non-timber forest products,48,0.67,991.89,1.24
2018-2019,Operaciones en vías férreas,Railway operations,15,0.21,9.51,0.01
2019-2020,Incendios intencionales,Intentional fires,3534,43.48,56489.91,55.22
2019-2020,"Tránsito de personas, vehículos o aeronaves","Movement of people, vehicles or aircraft",1945,23.93,9737.28,9.52
2019-2020,Incendios de causa desconocida,Fires of unknown cause,778,9.57,11089.77,10.84
2019-2020,Faenas forestales,Forestry operations,405,4.98,2689.49,2.63
2019-2020,Faenas agrícolas y pecuarias,Agricultural and livestock operations,395,4.86,7668.33,7.50
2019-2020,Quema de desechos,Burning of waste,349,4.29,4582.09,4.48
2019-2020,Accidentes eléctricos,Electrical accidents,246,3.03,1531.90,1.50
2019-2020,Actividades recreativas,Recreational activities,171,2.10,5203.95,5.09
2019-2020,"Actividades extinción incendios forestales, incendios estructurales u otros","Wildfire, structural and other fire suppression activities",130,1.60,1553.21,1.52
2019-2020,Otras actividades,Other activities,95,1.17,1573.73,1.54
2019-2020,Confección y/o extracción productos secundarios del bosque,Gathering and processing of non-timber forest products,42,0.52,114.08,0.11
2019-2020,Incendios naturales,Natural fires,23,0.28,8.63,0.01
2019-2020,Operaciones en vías férreas,Railway operations,14,0.17,49.30,0.05
2020-2021,Incendios intencionales,Intentional fires,2943,41.86,20921.51,61.30
2020-2021,"Tránsito de personas, vehículos o aeronaves","Movement of people, vehicles or aircraft",1235,17.57,1485.58,4.35
2020-2021,Incendios de causa desconocida,Fires of unknown cause,817,11.62,2562.28,7.51
2020-2021,Faenas forestales,Forestry operations,479,6.81,2095.49,6.14
2020-2021,Faenas agrícolas y pecuarias,Agricultural and livestock operations,413,5.87,2105.72,6.17
2020-2021,Quema de desechos,Burning of waste,394,5.60,758.49,2.22
2020-2021,Accidentes eléctricos,Electrical accidents,218,3.10,1297.28,3.80
2020-2021,Actividades recreativas,Recreational activities,185,2.63,1164.64,3.41
2020-2021,Otras actividades,Other activities,114,1.62,1241.27,3.64
2020-2021,"Actividades extinción incendios forestales, incendios estructurales u otros","Wildfire, structural and other fire suppression activities",100,1.42,124.57,0.36
2020-2021,Confección y/o extracción productos secundarios del bosque,Gathering and processing of non-timber forest products,59,0.84,248.58,0.73
2020-2021,Incendios naturales,Natural fires,56,0.80,108.29,0.32
2020-2021,Operaciones en vías férreas,Railway operations,17,0.24,14.40,0.04
2021-2022,Incendios intencionales,Intentional fires,3339,48.06,86869.59,69.32
2021-2022,"Tránsito de personas, vehículos o aeronaves","Movement of people, vehicles or aircraft",1185,17.06,2272.92,1.81
2021-2022,Incendios de causa desconocida,Fires of unknown cause,485,6.98,11811.98,9.43
2021-2022,Faenas agrícolas y pecuarias,Agricultural and livestock operations,462,6.65,4343.54,3.47
2021-2022,Quema de desechos,Burning of waste,439,6.32,5457.94,4.36
2021-2022,Faenas forestales,Forestry operations,368,5.30,1555.57,1.24
2021-2022,Accidentes eléctricos,Electrical accidents,210,3.02,4561.87,3.64
2021-2022,"Actividades extinción incendios forestales, incendios estructurales u otros","Wildfire, structural and other fire suppression activities",156,2.25,2830.33,2.26
2021-2022,Actividades recreativas,Recreational activities,129,1.86,3318.93,2.65
2021-2022,Otras actividades,Other activities,107,1.54,1810.89,1.45
2021-2022,Confección y/o extracción productos secundarios del bosque,Gathering and processing of non-timber forest products,34,0.49,447.50,0.36
2021-2022,Incendios naturales,Natural fires,25,0.36,32.74,0.03
2021-2022,Operaciones en vías férreas,Railway operations,8,0.12,1.74,0.00
2022-2023,Incendios intencionales,Intentional fires,2541,36.40,138818.08,32.35
2022-2023,Incendios de causa desconocida,Fires of unknown cause,1029,14.74,42218.78,9.84
2022-2023,"Tránsito de personas, vehículos o aeronaves","Movement of people, vehicles or aircraft",998,14.30,28245.93,6.58
2022-2023,Quema de desechos,Burning of waste,522,7.48,8158.37,1.90
2022-2023,Faenas agrícolas y pecuarias,Agricultural and livestock operations,412,5.90,6724.23,1.57
2022-2023,Faenas forestales,Forestry operations,412,5.90,8045.84,1.88
2022-2023,Accidentes eléctricos,Electrical accidents,296,4.24,99814.34,23.26
2022-2023,Otras actividades,Other activities,247,3.54,50310.57,11.72
2022-2023,"Actividades extinción incendios forestales, incendios estructurales u otros","Wildfire, structural and other fire suppression activities",233,3.34,33836.13,7.89
2022-2023,Actividades recreativas,Recreational activities,191,2.74,10309.21,2.40
2022-2023,Confección y/o extracción productos secundarios del bosque,Gathering and processing of non-timber forest products,75,1.07,142.53,0.03
2022-2023,Operaciones en vías férreas,Railway operations,11,0.16,16.07,0.00
2022-2023,Incendios naturales,Natural fires,2,0.03,0.04,0.00
2022-2023,(no cause published),,12,0.17,2462.83,0.57
2023-2024,Incendios intencionales,Intentional fires,1179,23.61,24746.61,38.77
2023-2024,Otras quemas,Other burning,714,14.30,1855.33,2.91
2023-2024,Incendios de causa indeterminada,Fires of indeterminate cause,667,13.36,3419.30,5.36
2023-2024,Faenas agrícolas y pecuarias,Agricultural and livestock operations,396,7.93,7502.94,11.75
2023-2024,Otras causas,Other causes,346,6.93,7142.20,11.19
2023-2024,Líneas eléctricas,Power lines,295,5.91,4489.07,7.03
2023-2024,"Parcelaciones, edificaciones residenciales, industriales u otras en zonas rurales o de interfaz","Rural subdivisions, residential, industrial and other building in rural or interface areas",288,5.77,3293.66,5.16
2023-2024,Faenas forestales,Forestry operations,270,5.41,427.62,0.67
2023-2024,"Originados por desplazamiento de personas, vehículos o aeronaves","Caused by the movement of people, vehicles or aircraft",220,4.41,2042.89,3.20
